,Pass,Profit,Total_trades,Profit_factor,Expected_Payoff,Drawdown_$,Drawdown_%,??,volume_1,volume_2,volume_3,pips2,pips3,pips1,hiddenAction,timeFrame,risk ratio
0,268997,4271.0,63,8.09,67.79,2111.4,2.10,0.0,7 ,1 ,1 ,18 ,14,1 ,0,1440,2.022828455053519
1,183285,2184.8,63,5.04,34.68,1454.52,1.45,0.0,5 ,0.9 ,0.3 ,17 ,10,1 ,0,1440,1.502076286335011
2,109256,1904.76,63,8.05,30.23,1618.74,1.62,0.0,6 ,0.6 ,0.3 ,6 ,7,1 ,0,1440,1.1766929834315578
3,85669,2706.16,63,11.74,42.95,2439.84,2.44,0.0,9 ,0.7 ,0.7 ,3 ,6,1 ,0,1440,1.109154698668765
4,326453,2254.84,63,13.84,35.79,961.86,0.96,0.0,3 ,0.6 ,0.5 ,13 ,17,1 ,0,1440,2.344249682906036
5,269849,3770.79,63,6.1,59.85,2439.84,2.43,0.0,9 ,0.5 ,0.9 ,19 ,14,1 ,0,1440,1.5455070824316348
6,92560,3051.46,63,6.77,48.44,2627.52,2.62,0.0,10 ,0.6 ,0.6 ,10 ,6,1 ,0,1440,1.1613460601631957
7,152423,1527.52,63,13.73,24.25,891.48,0.89,0.0,3 ,0.3 ,0.5 ,7 ,9,1 ,0,1440,1.7134652487997486
8,6673,1653.8,63,12.86,26.25,1055.7,1.05,0.0,3 ,0.8 ,0.7 ,8 ,2,1 ,0,1440,1.5665435256228093
9,228091,1566.84,63,0.0,24.87,492.66,0.49,0.0,1 ,1 ,0.1 ,20 ,12,1 ,0,1440,3.1803677992936303
10,126162,871.16,63,25.44,13.83,680.34,0.68,0.0,2 ,0.7 ,0.2 ,2 ,8,1 ,0,1440,1.2804774083546462
11,112557,2624.26,63,8.93,41.65,1923.72,1.92,0.0,7 ,0.6 ,0.6 ,9 ,7,1 ,0,1440,1.364159025221966
12,150873,2266.88,63,27.88,35.98,1102.62,1.10,0.0,3 ,0.8 ,0.9 ,5 ,9,1 ,0,1440,2.0559032123487695
13,69376,2438.88,63,12.73,38.71,1689.12,1.69,0.0,6 ,0.8 ,0.4 ,8 ,5,1 ,0,1440,1.4438761011651038
14,389196,3223.72,63,9.9,51.17,1689.12,1.69,0.0,6 ,1 ,0.2 ,13 ,20,1 ,0,1440,1.9085204129961164
15,5503,939.48,63,22.35,14.91,868.02,0.87,0.0,3 ,0.1 ,0.6 ,7 ,2,1 ,0,1440,1.082325292043962
16,215533,2015.6,63,14.44,31.99,938.4,0.94,0.0,3 ,0.4 ,0.6 ,7 ,12,1 ,0,1440,2.1479113384484227
17,300645,2824.76,63,12.77,44.84,1454.52,1.45,0.0,5 ,0.5 ,0.7 ,8 ,16,1 ,0,1440,1.942056485988505
18,3176,1906.8,63,13.22,30.27,1642.2,1.64,0.0,6 ,0.8 ,0.2 ,5 ,2,1 ,0,1440,1.1611253196930946
19,393634,1942.61,63,5.52,30.84,1196.46,1.19,0.0,4 ,0.4 ,0.7 ,17 ,20,1 ,0,1440,1.623631379235411
